domain,tld,category,severity,ip,ip_country,registered,notes
11102.cfd,cfd,,HIGH,,,,Confirmed by hagezi
11138.cfd,cfd,,HIGH,,,,Confirmed by hagezi
11142569.webku.buzz,buzz,,HIGH,,,,Confirmed by mitchellkrogza
11198.cfd,cfd,,HIGH,,,,Confirmed by hagezi
11205.cfd,cfd,,HIGH,,,,Confirmed by hagezi
11235.cfd,cfd,,HIGH,,,,Confirmed by hagezi
11250.cfd,cfd,,HIGH,,,,Confirmed by hagezi
11271.cfd,cfd,,HIGH,,,,Confirmed by hagezi
11310.cfd,cfd,,HIGH,,,,Confirmed by hagezi
11386.cfd,cfd,,HIGH,,,,Confirmed by hagezi
11405.cfd,cfd,,HIGH,,,,Confirmed by hagezi
11420.cfd,cfd,,HIGH,,,,Confirmed by hagezi
11447.cfd,cfd,,HIGH,,,,Confirmed by hagezi
11508.cfd,cfd,,HIGH,,,,Confirmed by hagezi
11548.cfd,cfd,,HIGH,,,,Confirmed by hagezi
11637.cfd,cfd,,HIGH,,,,Confirmed by hagezi
11669.cfd,cfd,,HIGH,,,,Confirmed by hagezi
11683.cfd,cfd,,HIGH,,,,Confirmed by hagezi
11709.cfd,cfd,,HIGH,,,,Confirmed by hagezi
117136.cfd,cfd,,HIGH,,,,Confirmed by hagezi
11716.cfd,cfd,,HIGH,,,,Confirmed by hagezi
11728.cfd,cfd,,HIGH,,,,Confirmed by hagezi
11772.cfd,cfd,,HIGH,,,,Confirmed by hagezi
11811.cfd,cfd,,HIGH,,,,Confirmed by hagezi
11818.cfd,cfd,,HIGH,,,,Confirmed by hagezi
11822.cfd,cfd,,HIGH,,,,Confirmed by hagezi
11826.cfd,cfd,,HIGH,,,,Confirmed by hagezi
11833.cfd,cfd,,HIGH,,,,Confirmed by hagezi
1184900.cfd,cfd,,HIGH,,,,Confirmed by hagezi
11902.cfd,cfd,,HIGH,,,,Confirmed by hagezi
11962.cfd,cfd,,HIGH,,,,Confirmed by hagezi
11973.cfd,cfd,,HIGH,,,,Confirmed by hagezi
11993.cfd,cfd,,HIGH,,,,Confirmed by hagezi
11u.hpxncct8v3x26pemz1z.cyou,cyou,,HIGH,,,,Confirmed by hagezi
1201000b88.qpon,qpon,,HIGH,,,,Confirmed by hagezi
12034.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12072.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12086.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12098.cfd,cfd,,HIGH,,,,Confirmed by hagezi
121389.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12199.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12206.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12213.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12222.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12228.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12253.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12293.cfd,cfd,,HIGH,,,,Confirmed by hagezi
123.456.llii11.sbs,sbs,,HIGH,,,,Confirmed by mitchellkrogza
12313.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12328.cfd,cfd,,HIGH,,,,Confirmed by hagezi
123456.cfd,cfd,,HIGH,,,,Confirmed by hagezi
1235577.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12378.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12412.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12432.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12452.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12475.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12495.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12498.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12546.cfd,cfd,,HIGH,,,,Confirmed by hagezi
125758.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12581.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12611.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12617.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12623.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12656.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12669.cfd,cfd,,HIGH,,,,Confirmed by hagezi
127007474.buzz,buzz,,HIGH,,,,Confirmed by mitchellkrogza
12712.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12760.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12775.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12806.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12809.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12810.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12814.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12815.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12816.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12832.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12858.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12912.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12934.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12962.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12983.cfd,cfd,,HIGH,,,,Confirmed by hagezi
12d64091fabe.icu,icu,,HIGH,,,,Confirmed by hagezi
12rr.urexlum7jcbluqgbyv6.cyou,cyou,,HIGH,,,,Confirmed by hagezi
13021.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13030.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13051.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13056.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13077.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13106.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13109.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13120.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13190.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13204.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13217.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13257.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13270.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13276.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13283.cfd,cfd,,HIGH,,,,Confirmed by hagezi
133201.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13333.cfd,cfd,,HIGH,,,,Confirmed by hagezi
133501.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13353.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13381.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13398.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13402.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13404.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13425.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13445781.bk67n.icu,icu,,HIGH,,,,Confirmed by mitchellkrogza
13481.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13487.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13571.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13586.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13623.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13637.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13638.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13650.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13671.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13692.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13748.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13750.cfd,cfd,,HIGH,,,,Confirmed by hagezi
137501.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13757.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13774.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13777.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13813.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13813849.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13813899.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13818.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13824.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13840.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13874.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13917.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13922.cfd,cfd,,HIGH,,,,Confirmed by hagezi
13963.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14002.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14006.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14021.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14048.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14074.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14083.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14086.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14098.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14112.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14173.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14225.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14303.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14314.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14350.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14356.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14361.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14397.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14399.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14407.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14432.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14443.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14476.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14496.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14497.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14508.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14550.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14598.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14631.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14642.cfd,cfd,,HIGH,,,,Confirmed by hagezi
146463.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14650.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14652.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14676.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14702.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14710.cfd,cfd,,HIGH,,,,Confirmed by hagezi
1473001.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14738.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14776.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14862.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14873.cfd,cfd,,HIGH,,,,Confirmed by hagezi
1489269494.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14900.cfd,cfd,,HIGH,,,,Confirmed by hagezi
1494331.webku.buzz,buzz,,HIGH,,,,Confirmed by mitchellkrogza
14947.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14949.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14952.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14991.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14993.cfd,cfd,,HIGH,,,,Confirmed by hagezi
14ed4b3549124dd465f718ce17c49ff4.sbs,sbs,,HIGH,,,,Confirmed by hagezi
15-2jcibdjalsoicve.buzz,buzz,,HIGH,,,,Confirmed by mitchellkrogza
15-2jxciubietydcv.buzz,buzz,,HIGH,,,,Confirmed by mitchellkrogza
15-2kcbiuewpjlkzxjf.buzz,buzz,,HIGH,,,,Confirmed by mitchellkrogza
15-2kjcxibjdfhtriwe.buzz,buzz,,HIGH,,,,Confirmed by mitchellkrogza
15-2kjhcxskiuvdnzcxvbn.buzz,buzz,,HIGH,,,,Confirmed by mitchellkrogza
15-2lkjxcbkuwz.buzz,buzz,,HIGH,,,,Confirmed by mitchellkrogza
15-2mbmcdnc.buzz,buzz,,HIGH,,,,Confirmed by mitchellkrogza
15-2mxcoidolsdjga.buzz,buzz,,HIGH,,,,Confirmed by mitchellkrogza
15-2nkzivbuewmdg.buzz,buzz,,HIGH,,,,Confirmed by mitchellkrogza
15031.cfd,cfd,,HIGH,,,,Confirmed by hagezi
15044.cfd,cfd,,HIGH,,,,Confirmed by hagezi
15060.cfd,cfd,,HIGH,,,,Confirmed by hagezi
1511dx555.sbs,sbs,,HIGH,,,,Confirmed by mitchellkrogza
151516.cfd,cfd,,HIGH,,,,Confirmed by hagezi
15152.cyou,cyou,,HIGH,,,,Confirmed by mitchellkrogza
15158.cfd,cfd,,HIGH,,,,Confirmed by hagezi
1515bets10.icu,icu,,HIGH,,,,Confirmed by hagezi
1516bets10.icu,icu,,HIGH,,,,Confirmed by hagezi
151783.cfd,cfd,,HIGH,,,,Confirmed by hagezi
1517bets10.icu,icu,,HIGH,,,,Confirmed by hagezi
15181.cfd,cfd,,HIGH,,,,Confirmed by hagezi
151811.cfd,cfd,,HIGH,,,,Confirmed by hagezi
1518bets10.icu,icu,,HIGH,,,,Confirmed by hagezi
15203.cfd,cfd,,HIGH,,,,Confirmed by hagezi
15209.cfd,cfd,,HIGH,,,,Confirmed by hagezi
15209125.cfd,cfd,,HIGH,,,,Confirmed by hagezi
1520bets10.icu,icu,,HIGH,,,,Confirmed by hagezi
15227.cfd,cfd,,HIGH,,,,Confirmed by hagezi
15236.cfd,cfd,,HIGH,,,,Confirmed by hagezi
15239.cfd,cfd,,HIGH,,,,Confirmed by hagezi
1523bets10.icu,icu,,HIGH,,,,Confirmed by hagezi
15242.cfd,cfd,,HIGH,,,,Confirmed by hagezi
1524bets10.icu,icu,,HIGH,,,,Confirmed by hagezi
15281.cfd,cfd,,HIGH,,,,Confirmed by hagezi
15306.cfd,cfd,,HIGH,,,,Confirmed by hagezi
15307.cfd,cfd,,HIGH,,,,Confirmed by hagezi
15389.cfd,cfd,,HIGH,,,,Confirmed by hagezi
15403.cfd,cfd,,HIGH,,,,Confirmed by hagezi
15410.cfd,cfd,,HIGH,,,,Confirmed by hagezi
15426.cfd,cfd,,HIGH,,,,Confirmed by hagezi
15471.cfd,cfd,,HIGH,,,,Confirmed by hagezi
154l.icu,icu,,HIGH,,,,Confirmed by mitchellkrogza
15526.cfd,cfd,,HIGH,,,,Confirmed by hagezi
15550.cfd,cfd,,HIGH,,,,Confirmed by hagezi
155901.cfd,cfd,,HIGH,,,,Confirmed by hagezi
15597.cfd,cfd,,HIGH,,,,Confirmed by hagezi
15607.cfd,cfd,,HIGH,,,,Confirmed by hagezi
15623.cfd,cfd,,HIGH,,,,Confirmed by hagezi
156489.cyou,cyou,,HIGH,,,,Confirmed by mitchellkrogza
156688.cfd,cfd,,HIGH,,,,Confirmed by hagezi
15671.cfd,cfd,,HIGH,,,,Confirmed by hagezi
15678.cfd,cfd,,HIGH,,,,Confirmed by hagezi
15697.cfd,cfd,,HIGH,,,,Confirmed by hagezi
15705.cfd,cfd,,HIGH,,,,Confirmed by hagezi
15709.cfd,cfd,,HIGH,,,,Confirmed by hagezi
15719.cfd,cfd,,HIGH,,,,Confirmed by hagezi
15750.cfd,cfd,,HIGH,,,,Confirmed by hagezi
15787.cfd,cfd,,HIGH,,,,Confirmed by hagezi
15795.cfd,cfd,,HIGH,,,,Confirmed by hagezi
158201.cfd,cfd,,HIGH,,,,Confirmed by hagezi
15824.cfd,cfd,,HIGH,,,,Confirmed by hagezi
15852.cfd,cfd,,HIGH,,,,Confirmed by hagezi
1587005.cfd,cfd,,HIGH,,,,Confirmed by hagezi
158703.cfd,cfd,,HIGH,,,,Confirmed by hagezi
1587750.cfd,cfd,,HIGH,,,,Confirmed by hagezi
1588302.cfd,cfd,,HIGH,,,,Confirmed by hagezi
15909.cfd,cfd,,HIGH,,,,Confirmed by hagezi
15921.cfd,cfd,,HIGH,,,,Confirmed by hagezi
15953.cfd,cfd,,HIGH,,,,Confirmed by hagezi
15967.cfd,cfd,,HIGH,,,,Confirmed by hagezi
15982.cfd,cfd,,HIGH,,,,Confirmed by hagezi
15984.cfd,cfd,,HIGH,,,,Confirmed by hagezi
16-2jcxiidxkdsipe.buzz,buzz,,HIGH,,,,Confirmed by mitchellkrogza
16-2jxcibiuewnxfbw.buzz,buzz,,HIGH,,,,Confirmed by mitchellkrogza
16-2loucbnqtg.buzz,buzz,,HIGH,,,,Confirmed by mitchellkrogza
16-2mxciuyxbneqr.buzz,buzz,,HIGH,,,,Confirmed by mitchellkrogza
16-2mxivuwejeg.buzz,buzz,,HIGH,,,,Confirmed by mitchellkrogza
16-2qtucxkvrsege.buzz,buzz,,HIGH,,,,Confirmed by mitchellkrogza
16-2xkqpvzkxve.buzz,buzz,,HIGH,,,,Confirmed by mitchellkrogza
16-2ywiwlxcmicidu.buzz,buzz,,HIGH,,,,Confirmed by mitchellkrogza
16010.cfd,cfd,,HIGH,,,,Confirmed by hagezi
160823.cfd,cfd,,HIGH,,,,Confirmed by hagezi
160989.cfd,cfd,,HIGH,,,,Confirmed by hagezi
16121.cfd,cfd,,HIGH,,,,Confirmed by hagezi
16141.cfd,cfd,,HIGH,,,,Confirmed by hagezi
161651.cfd,cfd,,HIGH,,,,Confirmed by hagezi
16212.cfd,cfd,,HIGH,,,,Confirmed by hagezi
16238.cfd,cfd,,HIGH,,,,Confirmed by hagezi
16245.cfd,cfd,,HIGH,,,,Confirmed by hagezi
16302.cfd,cfd,,HIGH,,,,Confirmed by hagezi
16337.cfd,cfd,,HIGH,,,,Confirmed by hagezi
16343.cfd,cfd,,HIGH,,,,Confirmed by hagezi
16352.cfd,cfd,,HIGH,,,,Confirmed by hagezi
16375.cfd,cfd,,HIGH,,,,Confirmed by hagezi
164653.cfd,cfd,,HIGH,,,,Confirmed by hagezi
16474.cfd,cfd,,HIGH,,,,Confirmed by hagezi
16479.cfd,cfd,,HIGH,,,,Confirmed by hagezi
16520.cfd,cfd,,HIGH,,,,Confirmed by hagezi
16573.cfd,cfd,,HIGH,,,,Confirmed by hagezi
16603.cfd,cfd,,HIGH,,,,Confirmed by hagezi
16618899.cfd,cfd,,HIGH,,,,Confirmed by hagezi
16629.cfd,cfd,,HIGH,,,,Confirmed by hagezi
16668.cfd,cfd,,HIGH,,,,Confirmed by hagezi
16670.cfd,cfd,,HIGH,,,,Confirmed by hagezi
16693.cfd,cfd,,HIGH,,,,Confirmed by hagezi
16708.cfd,cfd,,HIGH,,,,Confirmed by hagezi
16773.cfd,cfd,,HIGH,,,,Confirmed by hagezi
16791.cfd,cfd,,HIGH,,,,Confirmed by hagezi
1680099.cfd,cfd,,HIGH,,,,Confirmed by hagezi
168138099.cfd,cfd,,HIGH,,,,Confirmed by hagezi
16815.cfd,cfd,,HIGH,,,,Confirmed by hagezi
168168666.cfd,cfd,,HIGH,,,,Confirmed by hagezi
1682238.cfd,cfd,,HIGH,,,,Confirmed by hagezi
168238.cfd,cfd,,HIGH,,,,Confirmed by hagezi
16865.cfd,cfd,,HIGH,,,,Confirmed by hagezi
1688158.cfd,cfd,,HIGH,,,,Confirmed by hagezi
16883.cfd,cfd,,HIGH,,,,Confirmed by hagezi
16897.cfd,cfd,,HIGH,,,,Confirmed by hagezi
16970.cfd,cfd,,HIGH,,,,Confirmed by hagezi
16dpu.sbs,sbs,,HIGH,,,,Confirmed by mitchellkrogza
16gg00f.cfd,cfd,,HIGH,,,,Confirmed by mitchellkrogza
17-2683nduvgc.buzz,buzz,,HIGH,,,,Confirmed by mitchellkrogza
17-279438cxvjbrr.buzz,buzz,,HIGH,,,,Confirmed by mitchellkrogza
17-2858329mcloewud.buzz,buzz,,HIGH,,,,Confirmed by mitchellkrogza
17-298349jcvhe.buzz,buzz,,HIGH,,,,Confirmed by mitchellkrogza
17-2ayiucbvmeiuyha.buzz,buzz,,HIGH,,,,Confirmed by mitchellkrogza
17-2kicxiubwesgge.buzz,buzz,,HIGH,,,,Confirmed by mitchellkrogza
17-2koxcimweikhx.buzz,buzz,,HIGH,,,,Confirmed by mitchellkrogza
17-2opwmcjiwsey.buzz,buzz,,HIGH,,,,Confirmed by mitchellkrogza
17-2pqlzlpdlqprh.buzz,buzz,,HIGH,,,,Confirmed by mitchellkrogza
17015.cfd,cfd,,HIGH,,,,Confirmed by hagezi
17129.cfd,cfd,,HIGH,,,,Confirmed by hagezi
17137.cfd,cfd,,HIGH,,,,Confirmed by hagezi
17140.cfd,cfd,,HIGH,,,,Confirmed by hagezi
1714235.cfd,cfd,,HIGH,,,,Confirmed by hagezi
1714246.cfd,cfd,,HIGH,,,,Confirmed by hagezi
1714259.cfd,cfd,,HIGH,,,,Confirmed by hagezi
17159.cfd,cfd,,HIGH,,,,Confirmed by hagezi
17187164.realiti.cfd,cfd,,HIGH,,,,Confirmed by mitchellkrogza
1719432.cfd,cfd,,HIGH,,,,Confirmed by hagezi
17212.cfd,cfd,,HIGH,,,,Confirmed by hagezi
17324701.cfd,cfd,,HIGH,,,,Confirmed by hagezi
17324715.cfd,cfd,,HIGH,,,,Confirmed by hagezi
17324723.cfd,cfd,,HIGH,,,,Confirmed by hagezi
17324726.cfd,cfd,,HIGH,,,,Confirmed by hagezi
17324739.cfd,cfd,,HIGH,,,,Confirmed by hagezi
17324745.cfd,cfd,,HIGH,,,,Confirmed by hagezi
17324756.cfd,cfd,,HIGH,,,,Confirmed by hagezi
17324761.cfd,cfd,,HIGH,,,,Confirmed by hagezi
17324768.cfd,cfd,,HIGH,,,,Confirmed by hagezi
17324772.cfd,cfd,,HIGH,,,,Confirmed by hagezi
17324777.cfd,cfd,,HIGH,,,,Confirmed by hagezi
17324783.cfd,cfd,,HIGH,,,,Confirmed by hagezi
17324784.cfd,cfd,,HIGH,,,,Confirmed by hagezi
17324799.cfd,cfd,,HIGH,,,,Confirmed by hagezi
17383.cfd,cfd,,HIGH,,,,Confirmed by hagezi
17399.cfd,cfd,,HIGH,,,,Confirmed by hagezi
17418e8713c9e6444e34a8cf5a361673.icu,icu,,HIGH,,,,Confirmed by hagezi
17441.cfd,cfd,,HIGH,,,,Confirmed by hagezi
17480.cfd,cfd,,HIGH,,,,Confirmed by hagezi
17552.cfd,cfd,,HIGH,,,,Confirmed by hagezi
17554.cfd,cfd,,HIGH,,,,Confirmed by hagezi
17581.cfd,cfd,,HIGH,,,,Confirmed by hagezi
17605.cfd,cfd,,HIGH,,,,Confirmed by hagezi
17664.cfd,cfd,,HIGH,,,,Confirmed by hagezi
17667.cfd,cfd,,HIGH,,,,Confirmed by hagezi
17698.cfd,cfd,,HIGH,,,,Confirmed by hagezi
1773b.cyou,cyou,,HIGH,,,,Confirmed by mitchellkrogza
17751.cfd,cfd,,HIGH,,,,Confirmed by hagezi
1776-vgd.safefile.icu,icu,,HIGH,,,,Confirmed by mitchellkrogza
17820.cfd,cfd,,HIGH,,,,Confirmed by hagezi
17862.cfd,cfd,,HIGH,,,,Confirmed by hagezi
17900.cfd,cfd,,HIGH,,,,Confirmed by hagezi
17931.cfd,cfd,,HIGH,,,,Confirmed by hagezi
17t6rngx32f7gy.cfd,cfd,,HIGH,,,,Confirmed by hagezi
18-262372owemzivcxet.buzz,buzz,,HIGH,,,,Confirmed by mitchellkrogza
18-295729cviwzl.buzz,buzz,,HIGH,,,,Confirmed by mitchellkrogza
18-2968124buzmw.buzz,buzz,,HIGH,,,,Confirmed by mitchellkrogza
18-2976172kviwewq4.buzz,buzz,,HIGH,,,,Confirmed by mitchellkrogza
18015.cfd,cfd,,HIGH,,,,Confirmed by hagezi
18028.cfd,cfd,,HIGH,,,,Confirmed by hagezi
18091.cfd,cfd,,HIGH,,,,Confirmed by hagezi
18117655.webku.buzz,buzz,,HIGH,,,,Confirmed by mitchellkrogza
18177.cfd,cfd,,HIGH,,,,Confirmed by hagezi
18278.cfd,cfd,,HIGH,,,,Confirmed by hagezi
18324.cfd,cfd,,HIGH,,,,Confirmed by hagezi
1833920.cfd,cfd,,HIGH,,,,Confirmed by hagezi
18349.cfd,cfd,,HIGH,,,,Confirmed by hagezi
18392.cfd,cfd,,HIGH,,,,Confirmed by hagezi
18410.cfd,cfd,,HIGH,,,,Confirmed by hagezi
18434.cfd,cfd,,HIGH,,,,Confirmed by hagezi
18484.cfd,cfd,,HIGH,,,,Confirmed by hagezi
18525.cfd,cfd,,HIGH,,,,Confirmed by hagezi
18634.cfd,cfd,,HIGH,,,,Confirmed by hagezi
18673.cfd,cfd,,HIGH,,,,Confirmed by hagezi
18703.cfd,cfd,,HIGH,,,,Confirmed by hagezi
18723.cfd,cfd,,HIGH,,,,Confirmed by hagezi
18747.cfd,cfd,,HIGH,,,,Confirmed by hagezi
18830.cfd,cfd,,HIGH,,,,Confirmed by hagezi
18838.cfd,cfd,,HIGH,,,,Confirmed by hagezi
18888.cyou,cyou,,HIGH,,,,Confirmed by mitchellkrogza
189223.cfd,cfd,,HIGH,,,,Confirmed by hagezi
18942.cfd,cfd,,HIGH,,,,Confirmed by hagezi
1896972.cfd,cfd,,HIGH,,,,Confirmed by hagezi
18973.cfd,cfd,,HIGH,,,,Confirmed by hagezi
18989.cfd,cfd,,HIGH,,,,Confirmed by hagezi
18yzrhz5gp.cyou,cyou,,HIGH,,,,Confirmed by mitchellkrogza
18zkj1qlruj79oyq63f6w.cfd,cfd,,HIGH,,,,Confirmed by hagezi
19017.cfd,cfd,,HIGH,,,,Confirmed by hagezi
19021.cfd,cfd,,HIGH,,,,Confirmed by hagezi
19043.cfd,cfd,,HIGH,,,,Confirmed by hagezi
19054.cfd,cfd,,HIGH,,,,Confirmed by hagezi
19060211.cfd,cfd,,HIGH,,,,Confirmed by hagezi
19074.cfd,cfd,,HIGH,,,,Confirmed by hagezi
19082.cfd,cfd,,HIGH,,,,Confirmed by hagezi
19152.cfd,cfd,,HIGH,,,,Confirmed by hagezi
19207.cfd,cfd,,HIGH,,,,Confirmed by hagezi
19227.cfd,cfd,,HIGH,,,,Confirmed by hagezi
19228.cfd,cfd,,HIGH,,,,Confirmed by hagezi
19243.cfd,cfd,,HIGH,,,,Confirmed by hagezi
192892.cfd,cfd,,HIGH,,,,Confirmed by hagezi
19318.cfd,cfd,,HIGH,,,,Confirmed by hagezi
19347.cfd,cfd,,HIGH,,,,Confirmed by hagezi
1935503250.cfd,cfd,,HIGH,,,,Confirmed by hagezi
19363.cfd,cfd,,HIGH,,,,Confirmed by hagezi
19419.cfd,cfd,,HIGH,,,,Confirmed by hagezi
1945-tk.safefile.icu,icu,,HIGH,,,,Confirmed by mitchellkrogza
19473.cfd,cfd,,HIGH,,,,Confirmed by hagezi
19477.cfd,cfd,,HIGH,,,,Confirmed by hagezi
19521.cfd,cfd,,HIGH,,,,Confirmed by hagezi
19546.cfd,cfd,,HIGH,,,,Confirmed by hagezi
19553.cfd,cfd,,HIGH,,,,Confirmed by hagezi
19558.cfd,cfd,,HIGH,,,,Confirmed by hagezi
19584.cfd,cfd,,HIGH,,,,Confirmed by hagezi
19682.cfd,cfd,,HIGH,,,,Confirmed by hagezi
19691.cfd,cfd,,HIGH,,,,Confirmed by hagezi
19785.cfd,cfd,,HIGH,,,,Confirmed by hagezi
198297.cfd,cfd,,HIGH,,,,Confirmed by hagezi
19843.cfd,cfd,,HIGH,,,,Confirmed by hagezi
1984922.cfd,cfd,,HIGH,,,,Confirmed by hagezi
19850.cfd,cfd,,HIGH,,,,Confirmed by hagezi
19884.cfd,cfd,,HIGH,,,,Confirmed by hagezi
19908.cfd,cfd,,HIGH,,,,Confirmed by hagezi
