domain,tld,category,severity,ip,ip_country,registered,notes
10679.cfd,cfd,,HIGH,,,,Confirmed by hagezi
10719.cfd,cfd,,HIGH,,,,Confirmed by hagezi
10789.cfd,cfd,,HIGH,,,,Confirmed by hagezi
10811.cfd,cfd,,HIGH,,,,Confirmed by hagezi
10833.cfd,cfd,,HIGH,,,,Confirmed by hagezi
10884.cfd,cfd,,HIGH,,,,Confirmed by hagezi
10911.cfd,cfd,,HIGH,,,,Confirmed by hagezi
10963.cfd,cfd,,HIGH,,,,Confirmed by hagezi
10965.cfd,cfd,,HIGH,,,,Confirmed by hagezi
11010.cfd,cfd,,HIGH,,,,Confirmed by hagezi
11018.cfd,cfd,,HIGH,,,,Confirmed by hagezi
11042.cfd,cfd,,HIGH,,,,Confirmed by hagezi
11073.cfd,cfd,,HIGH,,,,Confirmed by hagezi
11093.cfd,cfd,,HIGH,,,,Confirmed by hagezi
